customer_id,frequency,recency,T,monetary_value
g-3797,0.0,0.0,110.0,0.0
g-3799,0.0,0.0,108.0,0.0
g-3804,0.0,0.0,100.0,0.0
g-3805,0.0,0.0,100.0,0.0
g-3808,0.0,0.0,97.0,0.0
g-3809,0.0,0.0,96.0,0.0
g-3812,0.0,0.0,94.0,0.0
g-3813,0.0,0.0,93.0,0.0
g-3814,0.0,0.0,92.0,0.0
g-3816,0.0,0.0,92.0,0.0
g-3817,0.0,0.0,91.0,0.0
g-3818,0.0,0.0,91.0,0.0
g-3819,0.0,0.0,91.0,0.0
g-3820,0.0,0.0,91.0,0.0
g-3822,0.0,0.0,90.0,0.0
g-3824,0.0,0.0,90.0,0.0
g-3825,0.0,0.0,90.0,0.0
g-3826,0.0,0.0,90.0,0.0
g-3828,0.0,0.0,89.0,0.0
g-3829,0.0,0.0,89.0,0.0
g-3830,0.0,0.0,86.0,0.0
g-3833,0.0,0.0,85.0,0.0
g-3834,0.0,0.0,85.0,0.0
g-3836,0.0,0.0,84.0,0.0
g-3839,0.0,0.0,78.0,0.0
g-3842,0.0,0.0,63.0,0.0
g-3845,0.0,0.0,45.0,0.0
g-3846,0.0,0.0,41.0,0.0
g-3847,0.0,0.0,41.0,0.0
g-3851,0.0,0.0,32.0,0.0
g-3852,0.0,0.0,26.0,0.0
g-3853,0.0,0.0,21.0,0.0
g-3854,0.0,0.0,20.0,0.0
g-3855,0.0,0.0,18.0,0.0
g-3858,0.0,0.0,11.0,0.0
g-3859,0.0,0.0,9.0,0.0
g-404,2.0,580.0,676.0,143.06
g-561,0.0,0.0,673.0,0.0
g-639,0.0,0.0,670.0,0.0
