customer_id,frequency,recency_days,T_days,monetary_mean,segment,segment_prob_max
g-3775,0,0,175,95.78,2,0.9999999999926494
g-3776,0,0,172,103.07,2,0.9999999999938538
g-3777,0,0,172,90.76,2,0.9999999999897575
g-3782,0,0,158,158.48,2,0.9999999999990674
g-3785,0,0,157,98.8,2,0.9999999999849685
g-3786,0,0,152,86.75,2,0.9999999999689475
g-3789,0,0,123,62.42,2,0.9999999997461977
g-3791,0,0,119,65.8,2,0.9999999996725215
g-3792,0,0,115,130.0,2,0.9999999999643752
g-3794,0,0,115,101.93,2,0.9999999998533298
g-3797,0,0,110,107.44,2,0.9999999998399911
g-3799,1,0,108,47.97,3,0.9999999999295135
g-3804,1,0,100,102.835,3,0.99999999116166
g-3805,0,0,100,81.58,2,0.9999999990595452
g-3808,0,0,97,128.62,2,0.9999999998575326
g-3809,0,0,95,117.49,2,0.9999999996995257
g-3812,0,0,93,65.97,2,0.9999999978104546
g-3813,0,0,92,96.45,2,0.9999999989604831
g-3814,0,0,92,124.89,2,0.9999999997388542
g-3816,0,0,92,146.78,2,0.9999999999214921
g-3817,0,0,91,135.99,2,0.9999999998443299
g-3818,0,0,91,156.91,2,0.9999999999518554
g-3819,0,0,91,98.96,2,0.9999999989848565
g-3820,0,0,91,97.49,2,0.9999999989183443
g-3822,0,0,90,99.49,2,0.9999999989204129
g-3824,0,0,90,93.75,2,0.9999999986247952
g-3825,0,0,90,103.59,2,0.9999999991023092
g-3826,0,0,89,128.62,2,0.9999999997241948
g-3828,1,0,89,112.285,3,0.9999999928789697
g-3829,0,0,88,117.49,2,0.9999999994595035
g-3830,0,0,85,151.47,2,0.9999999998895115
g-3833,0,0,85,179.73,2,0.9999999999779492
g-3834,0,0,84,104.31,2,0.9999999985272785
g-3836,0,0,84,218.34,2,0.9999999999972715
g-3839,0,0,78,96.16,2,0.999999996279362
g-3842,0,0,62,74.15,2,0.9999999566082654
g-3845,0,0,45,120.98,2,0.9999999281003492
g-3846,0,0,41,82.02,2,0.9999992101150801
g-3847,0,0,41,131.18,2,0.999999916624917
g-3851,0,0,31,117.38,2,0.9999986413392233
g-3852,0,0,26,73.18,2,0.9999723147181595
g-3853,0,0,20,81.5,2,0.9998510581101039
g-3854,0,0,19,86.03,2,0.9998143844842815
g-3855,0,0,17,116.81,2,0.9998956695484372
g-3858,0,0,11,97.34,2,0.9947478693255754
g-3859,0,0,8,145.17,2,0.996290080505994
g-404,2,579,675,113.70333333333333,1,0.5337583304516587
g-561,0,0,673,129.0,2,0.9999999999913385
g-639,0,0,670,90.07,2,0.9999999999555556
